protocol,size,timedelta,flags
17,75,0.0001983642578125,0
17,1284,0.0025186538696289062,0
17,1292,0.0003542900085449219,0
17,1292,0.0001697540283203125,0
17,1292,0.0001544952392578125,0
17,1292,0.00015091896057128906,0
17,1292,0.00021505355834960938,0
17,1292,0.00015544891357421875,0
17,1292,0.0001456737518310547,0
17,1292,0.0013382434844970703,0
17,1292,0.0002617835998535156,0
17,75,0.00020551681518554688,0
17,1292,0.00024509429931640625,0
17,1292,0.00021958351135253906,0
17,1292,0.00023865699768066406,0
17,1292,0.00023412704467773438,0
17,1292,0.0003287792205810547,0
17,1292,0.0002422332763671875,0
17,1292,0.0002219676971435547,0
17,1292,0.00027942657470703125,0
17,1292,0.0002696514129638672,0
17,1292,0.00018715858459472656,0
17,1292,0.00018715858459472656,0
17,1292,0.0001621246337890625,0
17,75,0.00013113021850585938,0
17,1292,0.00016689300537109375,0
17,1292,0.0001709461212158203,0
17,1292,0.0001552104949951172,0
17,1292,0.00015854835510253906,0
17,1292,0.0001499652862548828,0
17,1292,0.00014781951904296875,0
17,1292,0.000545501708984375,0
17,332,0.00015997886657714844,0
17,75,0.00014543533325195312,0
6,66,0.05183124542236328,18
6,54,0.00017333030700683594,16
6,245,0.0001690387725830078,24
6,1506,0.12039947509765625,16
6,1506,0.0002903938293457031,16
6,54,0.0001442432403564453,16
6,148,0.00017976760864257812,24
6,212,0.0002532005310058594,24
6,66,0.10486960411071777,2
6,66,0.0002048015594482422,2
6,66,0.0005171298980712891,18
6,66,0.0001983642578125,18
6,54,0.0001742839813232422,16
6,54,0.0001556873321533203,16
6,56,0.00021266937255859375,24
6,99,0.00019311904907226562,24
6,56,0.00023031234741210938,24
6,99,0.0001804828643798828,24
6,60,0.00018024444580078125,16
6,60,0.00016260147094726562,16
6,60,0.00016307830810546875,16
6,60,0.00015783309936523438,16
6,117,0.002334117889404297,24
6,54,0.0002486705780029297,17
6,170,0.0006270408630371094,24
6,60,0.00016236305236816406,17
6,54,9.965896606445312e-05,16
6,54,9.822845458984375e-05,17
17,1292,0.0002040863037109375,0
17,1292,0.00016188621520996094,0
17,1292,0.00022149085998535156,0
17,118,0.0002040863037109375,0
17,1258,0.0002570152282714844,0
6,60,0.00017642974853515625,17
6,54,0.00014925003051757812,16
6,105,0.008357048034667969,24
17,82,0.009530305862426758,0
17,82,0.0002562999725341797,0
17,1292,0.00027179718017578125,0
17,1292,0.00018334388732910156,0
6,552,0.004152774810791016,24
17,71,0.005958080291748047,0
17,1292,0.004027128219604492,0
6,395,0.0006649494171142578,24
17,1292,0.006156206130981445,0
17,329,0.00018024444580078125,0
17,1005,0.0002048015594482422,0
17,120,0.0002734661102294922,0
17,73,0.00016450881958007812,0
17,70,0.00013184547424316406,0
17,66,0.00012302398681640625,0
6,569,0.003403186798095703,24
17,1292,0.006742715835571289,0
17,334,0.00019478797912597656,0
17,155,0.00013327598571777344,0
17,520,0.003057241439819336,0
17,225,0.0003285408020019531,0
17,226,0.00026345252990722656,0
17,225,0.00024390220642089844,0
6,109,0.0003237724304199219,24
17,162,0.003263711929321289,0
17,75,0.00027441978454589844,0
17,678,0.004265785217285156,0
17,266,0.0003383159637451172,0
17,79,0.0002918243408203125,0
17,75,0.0002453327178955078,0
17,67,0.0033845901489257812,0
6,88,0.0009629726409912109,24
17,84,0.004119873046875,0
17,67,0.008594751358032227,0
